Frame;ms on GPU;ConstantBuffersTime;SceneDepthPrePass;SceneShadows;
218;28.3723;0;14.3711;13.3825;
219;28.7465;0;14.7164;13.3106;
220;29.8708;0;14.4139;14.3877;
221;31.4478;0;16.5669;14.0002;
222;33.7606;0;17.1758;15.1278;
223;32.3067;0;15.8033;15.6244;
224;32.2702;0;17.3157;14.0071;
225;28.6508;0;14.3483;12.6958;
226;30.1625;3.2e-05;14.8012;14.225;
227;29.1719;0;15.2681;12.9452;
228;28.4529;3.2e-05;14.1108;12.7367;
229;28.541;3.2e-05;13.9298;13.3916;
230;29.2967;3.2e-05;13.7118;14.2144;
231;29.2424;3.2e-05;13.8199;13.9898;
232;28.4417;3.2e-05;13.9001;13.3068;
233;29.2579;3.2e-05;15.0932;13.2457;
234;30.897;3.2e-05;15.7156;14.0844;
235;27.5246;0;14.0219;12.5895;
236;28.9884;0;13.9755;13.2545;
237;28.3945;0;13.8659;13.1132;
238;28.1872;0;14.1246;13.0297;
239;28.3244;3.2e-05;14.1077;13.2334;
240;45.3723;0;29.9025;14.064;
241;29.2789;3.2e-05;14.2593;13.5328;
242;28.0654;0;14.2049;12.9594;
243;28.834;0;14.2381;13.2666;
244;29.3958;0;14.5381;13.5547;
245;29.7264;3.2e-05;14.3539;13.9633;
246;30.461;0;15.4036;13.6831;
247;29.0236;3.2e-05;14.2777;13.3595;
248;28.8445;0;14.1274;13.4243;
249;28.963;3.2e-05;14.2612;13.4038;
250;28.8668;0;14.3535;13.4636;
251;28.862;0;14.2541;13.4397;
252;31.8604;0;16.3271;14.57;
253;28.3928;0;14.2424;13.1385;
254;28.399;3.2e-05;14.1325;13.154;
255;28.337;0;14.1676;13.0535;
256;28.8898;0;14.2158;13.0828;
257;28.312;0;14.0683;13.6558;
258;29.5966;0;14.0132;14.6518;
259;29.59;3.2e-05;14.7458;12.9509;
260;28.7282;0;14.3074;12.9738;
261;27.9081;0;14.0132;13.0076;
262;28.5629;0;13.7694;13.0753;
263;28.7385;0;14.1796;13.2224;
264;28.6672;0;13.9844;13.3207;
265;30.34;0;15.3719;14.09;
266;29.0581;0;14.4481;13.1111;
267;31.2401;0;15.433;14.4404;
268;27.9734;0;13.9184;13.0846;
269;29.1589;0;14.1637;13.4228;
270;43.7472;0;29.1341;13.554;
271;30.3152;3.2e-05;15.0923;13.9711;
272;28.8171;0;14.7195;13.1857;
273;28.8258;0;14.5052;13.3336;
274;29.2305;3.2e-05;14.6159;13.5398;
275;30.2358;0;15.1961;14.1682;
276;28.8415;3.2e-05;14.147;13.287;
277;30.2545;0;14.2771;14.623;
278;29.602;3.2e-05;15.5563;13.1582;
279;28.8069;0;14.1696;13.3841;
280;28.8799;0;14.2699;13.2845;
281;29.3086;3.2e-05;14.2697;13.9103;
282;28.6861;0;14.3988;13.3414;
283;29.8785;0;14.168;13.9909;
284;30.812;0;15.7416;13.8597;
285;28.2947;3.2e-05;14.0752;13.3028;
286;28.2982;0;14.3456;13.3219;
287;30.293;0;15.3264;14.0572;
288;28.4062;3.2e-05;14.0774;13.3937;
289;28.329;0;14.441;13.3029;
290;30.9081;0;14.2409;14.9766;
291;28.7783;0;14.2804;13.6702;
292;28.3645;0;14.147;13.1423;
293;28.2727;3.2e-05;14.2944;13.064;
294;28.3196;3.2e-05;14.3049;12.8329;
295;29.1968;3.2e-05;14.479;12.8757;
296;28.6079;0;14.1431;13.2709;
297;31.0096;0;14.8925;14.81;
298;28.0086;3.2e-05;14.4388;12.6591;
299;28.1709;3.2e-05;14.2178;13.0365;
300;39.8789;0;13.893;25.7129;
301;28.7695;0;14.44;13.3166;
302;28.7857;0;14.7202;13.3801;
303;30.3496;3.2e-05;15.9762;13.3604;
304;28.9349;0;14.5592;13.5417;
305;29.7608;0;14.9118;13.4654;
306;28.6228;0;14.2105;13.4387;
307;29.1223;3.2e-05;14.3541;13.7169;
308;28.7522;0;14.3871;13.7066;
309;30.253;0;14.4114;14.5013;
310;29.4642;0;15.2766;13.4965;
311;28.8945;3.2e-05;14.4654;13.2612;
312;28.593;3.2e-05;14.2851;12.9472;
313;28.5395;0;14.2435;12.9909;
314;28.3187;0;14.0342;13.0488;
315;27.8029;0;13.8933;12.9217;
316;30.1916;0;14.7842;14.1798;
317;29.2172;0;13.9353;14.4038;
318;28.0057;0;14.0924;12.8884;
319;28.3719;3.2e-05;13.9767;13.0779;
320;28.5601;0;14.1931;12.9615;
321;28.97;0;14.322;13.3611;
322;29.8433;0;14.017;14.7885;
323;29.1289;0;14.7614;13.2889;
324;29.1921;3.2e-05;14.8032;13.2957;
325;29.0407;0;14.1824;13.4672;
326;28.8014;0;14.2999;13.1265;
327;28.9853;0;14.5738;13.3546;
328;28.8678;0;14.2466;13.5748;
329;30.9082;3.2e-05;15.3563;14.2575;
330;30.2964;0;14.9494;13.9068;
331;36.0616;3.2e-05;23.0656;12.7179;
332;29.328;0;14.2866;13.6348;
333;28.55;0;14.215;13.2932;
334;28.8182;0;14.1732;13.3988;
335;29.9472;0;14.2631;14.6925;
336;29.7717;0;15.0388;13.588;
337;29.0097;3.2e-05;14.3108;13.8169;
338;28.4803;0;14.2803;13.2718;
339;28.5006;0;14.1901;13.4405;
340;28.956;0;14.4116;13.4987;
341;28.8472;0;14.226;13.5374;
342;32.4908;0;15.6935;15.8056;
343;29.1825;0;14.5632;13.3655;
344;28.8825;0;14.0709;13.467;
345;28.7078;0;14.2456;13.4892;
346;28.5826;0;14.2783;13.5878;
347;28.4205;0;14.2296;13.3966;
348;30.1808;3.2e-05;14.2481;14.3984;
349;28.7109;0;14.4062;13.0081;
350;27.9399;0;14.1691;12.7568;
351;28.7155;0;14.483;12.9024;
352;28.8736;3.2e-05;14.2976;13.1931;
353;28.4008;0;14.2257;12.684;
354;28.4336;0;14.0093;13.1514;
355;30.3764;0;15.7911;13.2089;
356;28.5895;0;14.0068;13.3201;
357;28.3907;3.2e-05;14.1993;12.9253;
358;28.6627;0;14.255;13.2568;
359;29.2203;0;14.4024;13.726;
360;28.8021;3.2e-05;14.769;13.1312;
361;53.9372;3.2e-05;14.0873;39.3637;
362;31.0997;0;15.9362;14.1817;
363;31.2298;0;14.1332;15.6978;
364;28.5625;0;14.4085;13.2904;
365;28.8146;0;14.7277;13.0377;
366;28.347;3.2e-05;14.3803;12.877;
367;31.1748;3.2e-05;16.207;13.9962;
368;28.3413;0;14.4561;12.9405;
369;29.312;3.2e-05;14.8406;12.997;
370;29.271;3.2e-05;14.6982;12.9847;
371;29.7508;0;14.6956;13.9011;
372;28.6506;0;14.7737;12.7395;
373;29.6427;0;14.3395;14.0449;
374;29.2287;0;14.9622;13.202;
375;28.1705;0;13.9816;13.0422;
376;28.2087;0;14.1571;12.9492;
377;27.7189;0;13.8985;12.9337;
378;29.2186;0;14.1124;13.4982;
379;28.7937;0;14.0756;13.3749;
380;30.3956;0;15.0872;13.8455;
381;28.7702;0;13.9963;13.5131;
382;28.4725;0;14.071;13.1672;
383;28.7622;0;13.9666;13.4261;
384;29.0775;3.2e-05;14.2588;13.6217;
385;28.9863;3.2e-05;14.4381;13.4048;
386;29.7977;0;14.9613;13.9104;
387;32.0201;0;16.712;13.999;
388;29.1433;0;14.1562;13.2956;
389;28.9161;0;14.2624;13.4502;
390;28.9197;0;14.4572;13.3043;
391;34.9649;0;14.0649;20.6902;
392;31.2652;3.2e-05;15.1536;14.9927;
393;29.4713;0;14.3785;13.7684;
394;28.7962;0;14.2632;13.5448;
395;28.759;3.2e-05;14.1745;13.5192;
396;28.1854;3.2e-05;13.9423;13.2701;
397;28.9343;0;14.4009;13.6744;
398;28.8051;0;13.9568;13.0642;
399;29.7396;0;14.9784;13.8691;
400;32.0551;0;15.7152;14.9377;
401;28.7501;0;14.098;13.5862;
402;29.6038;3.2e-05;14.8783;13.3571;
403;28.4787;3.2e-05;14.2971;13.2378;
404;29.4808;0;14.4747;13.4551;
405;33.4643;3.2e-05;15.2879;16.6644;
406;30.222;0;15.0658;14.0356;
407;29.6424;0;14.4631;13.6186;
408;27.9249;0;13.8325;13.1859;
409;28.6376;3.2e-05;14.228;13.1964;
410;28.7758;3.2e-05;14.1224;13.402;
411;29.774;0;13.9759;14.9138;
412;29.5235;0;14.9358;13.4995;
413;29.8102;0;14.115;14.4031;
414;28.7723;0;13.9965;13.314;
415;28.5694;0;14.5323;13.1274;
416;28.3691;0;14.1655;13.3309;
417;29.377;3.2e-05;14.1691;13.36;
418;30.5844;0;15.9516;13.7572;
419;28.9705;0;14.1902;13.6478;
420;28.7607;3.2e-05;14.1653;13.4079;
421;28.3663;0;14.343;13.3574;
422;32.1705;3.2e-05;17.898;13.3627;
423;28.3509;3.2e-05;14.2892;13.1745;
424;31.3198;3.2e-05;15.3809;14.8307;
425;29.2793;0;14.8359;13.4882;
426;28.3261;0;14.1626;13.3509;
427;28.9937;0;14.3008;13.8019;
428;29.0006;0;14.2639;13.7226;
429;28.678;0;14.4629;13.5264;
430;28.3521;3.2e-05;14.1392;13.3366;
431;31.278;0;15.2801;14.9372;
432;29.8608;0;15.2454;13.6238;
433;28.9558;0;14.5029;13.5363;
434;28.3144;3.2e-05;14.2177;12.9397;
435;28.483;0;14.2466;12.8774;
436;27.8262;0;13.9731;12.9157;
437;29.7841;0;14.0756;14.1283;
438;29.2345;0;14.8944;12.9787;
439;28.18;3.2e-05;14.262;12.8628;
440;27.91;0;13.7819;12.8402;
441;30.0924;3.2e-05;15.2722;13.5997;
442;28.1156;0;13.9449;12.9049;
443;28.6424;0;14.1533;12.9141;
444;31.8029;3.2e-05;16.218;14.4268;
445;30.5034;3.2e-05;13.9197;15.2225;
446;28.1447;3.2e-05;14.0416;12.9668;
447;28.2959;0;13.9995;12.9849;
448;29.0099;0;14.3416;13.3106;
449;28.5901;0;13.9273;13.1001;
450;30.4348;0;14.4172;14.7623;
451;29.5485;0;14.4357;13.9649;
452;31.1677;0;13.9314;12.9743;
453;29.1714;0;14.4317;12.997;
454;29.1836;3.2e-05;14.642;13.1024;
455;30.0341;0;14.9003;13.4974;
456;29.7207;0;15.0471;13.7415;
457;29.7335;0;15.2386;13.1066;
458;28.3856;0;14.4634;13.0137;
459;28.4106;3.2e-05;14.2215;12.7546;
460;28.7037;0;14.2745;13.0495;
461;27.8445;0;14.0039;12.9356;
