Frame;ms on GPU;ConstantBuffersTime;SceneDepthPrePass;SceneShadows;
230;31.6096;0;15.3422;14.7196;
231;31.1997;3.2e-05;15.1583;15.3516;
232;31.147;0;15.1924;15.4967;
233;34.0594;3.2e-05;16.0928;16.581;
234;32.0998;0;15.4616;15.2816;
235;30.7711;0;14.6163;14.9376;
236;31.5363;0;15.1049;15.6376;
237;31.4911;0;14.9622;15.398;
238;31.8772;3.2e-05;15.3919;15.2774;
239;33.2436;0;16.075;16.2877;
240;31.0445;0;15.1566;15.0703;
241;46.2692;0;29.6703;15.3797;
242;31.766;0;15.4771;15.4851;
243;31.0581;3.2e-05;14.4891;15.378;
244;32.5798;3.2e-05;14.8343;16.7736;
245;31.6138;0;15.6061;15.2024;
246;31.5805;0;15.0069;15.3287;
247;31.7699;0;15.0956;15.5715;
248;31.1692;3.2e-05;14.8749;15.266;
249;31.3767;0;15.176;15.503;
250;32.2775;0;15.0484;16.1949;
251;31.9034;3.2e-05;15.7134;15.4713;
252;31.1583;0;14.9298;15.4554;
253;31.7328;0;15.1547;16.002;
254;30.8606;0;14.8752;15.4891;
255;32.1825;0;16.1164;15.0908;
256;32.8031;3.2e-05;15.6398;16.3576;
257;32.394;0;15.8549;15.6464;
258;31.1278;3.2e-05;15.3568;15.0198;
259;32.1105;0;15.4338;15.2572;
260;31.7015;0;15.5491;15.3618;
261;31.228;0;14.9297;15.1361;
262;33.14;0;15.8677;16.4911;
263;31.994;0;15.834;15.4644;
264;31.1336;3.2e-05;14.7297;15.1843;
265;31.6628;3.2e-05;14.9424;15.3642;
266;31.2682;0;15.1566;15.4545;
267;31.5858;0;15.0863;15.8922;
268;33.1081;0;14.8469;17.2505;
269;43.6978;0;27.3457;15.1967;
270;31.8587;0;15.4236;15.1997;
271;31.128;0;15.2768;15.049;
272;31.5861;0;15.2801;15.2264;
273;31.5046;0;15.1472;15.4862;
274;31.4707;0;15.8764;14.6418;
275;31.3008;3.2e-05;15.0417;15.4112;
276;32.6945;3.2e-05;15.8938;16.2446;
277;31.2036;3.2e-05;15.1182;15.6148;
278;31.7006;0;15.2647;15.2577;
279;31.3618;0;15.21;15.4252;
280;34.4045;0;16.5766;16.8369;
281;31.09;3.2e-05;15.0623;14.7904;
282;31.7428;3.2e-05;15.2707;15.1212;
283;31.8397;0;14.8903;15.5555;
284;31.2174;0;15.5053;15.0128;
285;32.7573;3.2e-05;15.5455;15.8137;
286;33.1006;0;16.3345;15.5305;
287;30.8992;3.2e-05;14.7274;14.9395;
288;30.5974;3.2e-05;15.1572;14.5613;
289;32.2113;3.2e-05;15.0323;16.3032;
290;31.2485;3.2e-05;14.8401;15.8022;
291;31.2652;3.2e-05;15.0874;15.4348;
292;31.943;0;15.8916;15.3587;
293;31.7564;0;15.0845;15.3602;
294;31.0645;3.2e-05;14.8357;15.3537;
295;31.4275;0;14.8175;15.3875;
296;31.1181;0;14.6534;15.2044;
297;30.5828;0;13.5959;15.7728;
